exercise,blurb
accumulate,"Implement the `accumulate` operation, which, given a collection and an operation to perform on each element of the collection, returns a new collection containing the result of applying that operation to each element of the input collection."
acronym,Convert a long phrase to its acronym
affine-cipher,"Create an implementation of the Affine cipher, an ancient encryption algorithm from the Middle East."
all-your-base,"Convert a number, represented as a sequence of digits in one base, to any other base."
allergies,"Given a person's allergy score, determine whether or not they're allergic to a given item, and their full list of allergies."
alphametics,Write a function to solve alphametics puzzles.
anagram,"Given a word and a list of possible anagrams, select the correct sublist."
armstrong-numbers,Determine if a number is an Armstrong number
atbash-cipher,"Create an implementation of the atbash cipher, an ancient encryption system created in the Middle East."
bank-account,"Simulate a bank account supporting opening/closing, withdraws, and deposits of money. Watch out for concurrent transactions!"
beer-song,"Produce the lyrics to that beloved classic, that field-trip favorite: 99 Bottles of Beer on the Wall."
binary-search-tree,Insert and search for numbers in a binary tree.
binary-search,Implement a binary search algorithm.
binary,"Convert a binary number, represented as a string (e.g. '101010'), to its decimal equivalent using first principles"
bob,"Bob is a lackadaisical teenager. In conversation, his responses are very limited."
book-store,"To try and encourage more sales of different books from a popular 5 book series, a bookshop has decided to offer discounts of multiple-book purchases."
bowling,Score a bowling game
bracket-push,Make sure the brackets and braces all match.
change,Correctly determine change to be given using the least number of coins
circular-buffer,"A data structure that uses a single, fixed-size buffer as if it were connected end-to-end."
clock,Implement a clock that handles times without dates.
collatz-conjecture,Calculate the number of steps to reach 1 using the Collatz conjecture
complex-numbers,Implement complex numbers.
connect,Compute the result for a game of Hex / Polygon
counter,Design a test suite for a line/letter/character counter tool.
crypto-square,Implement the classic method for composing secret messages called a square code.
custom-set,Create a custom set type.
diamond,"Given a letter, print a diamond starting with 'A' with the supplied letter at the widest point."
difference-of-squares,Find the difference between the square of the sum and the sum of the squares of the first N natural numbers.
diffie-hellman,Diffie-Hellman key exchange.
dominoes,Make a chain of dominoes.
dot-dsl,Write a Domain Specific Language similar to the Graphviz dot language
error-handling,Implement various kinds of error handling and resource management
etl,We are going to do the `Transform` step of an Extract-Transform-Load.
flatten-array,Take a nested list and return a single list with all values except nil/null
food-chain,Generate the lyrics of the song 'I Know an Old Lady Who Swallowed a Fly'
forth,Implement an evaluator for a very simple subset of Forth
gigasecond,Calculate the moment when someone has lived for 10^9 seconds.
go-counting,Count the scored points on a Go board.
grade-school,"Given students' names along with the grade that they are in, create a roster for the school"
grains,Calculate the number of grains of wheat on a chessboard given that the number on each square doubles.
grep,Search a file for lines matching a regular expression pattern. Return the line number and contents of each matching line.
hamming,Calculate the Hamming difference between two DNA strands.
hangman,Implement the logic of the hangman game using functional reactive programming.
hello-world,"The classical introductory exercise. Just say ""Hello, World!"""
hexadecimal,"Convert a hexadecimal number, represented as a string (e.g. ""10af8c""), to its decimal equivalent using first principles (i.e. no, you may not use built-in or external libraries to accomplish the conversion)."
house,Output the nursery rhyme 'This is the House that Jack Built'.
isbn-verifier,Check if a given string is a valid ISBN-10 number.
isogram,Determine if a word or phrase is an isogram.
kindergarten-garden,"Given a diagram, determine which plants each child in the kindergarten class is responsible for."
largest-series-product,"Given a string of digits, calculate the largest product for a contiguous substring of digits of length n."
leap,"Given a year, report if it is a leap year."
ledger,Refactor a ledger printer.
lens-person,Use lenses to update nested records (specific to languages with immutable data).
linked-list,Implement a doubly linked list
list-ops,Implement basic list operations
luhn,Given a number determine whether or not it is valid per the Luhn formula.
markdown,Refactor a Markdown parser
matrix,"Given a string representing a matrix of numbers, return the rows and columns of that matrix."
meetup,Calculate the date of meetups.
minesweeper,Add the numbers to a minesweeper board
nth-prime,"Given a number n, determine what the nth prime is."
nucleotide-codons,"Write a function that returns the name of an amino acid a particular codon, possibly using shorthand, encodes for."
nucleotide-count,"Given a DNA string, compute how many times each nucleotide occurs in the string."
ocr-numbers,"Given a 3 x 4 grid of pipes, underscores, and spaces, determine which number is represented, or whether it is garbled."
octal,"Convert a octal number, represented as a string (e.g. '1735263'), to its decimal equivalent using first principles (i.e. no, you may not use built-in or external libraries to accomplish the conversion)."
paasio,Report network IO statistics
palindrome-products,Detect palindrome products in a given range.
pangram,Determine if a sentence is a pangram.
parallel-letter-frequency,Count the frequency of letters in texts using parallel computation.
pascals-triangle,Compute Pascal's triangle up to a given number of rows.
perfect-numbers,"Determine if a number is perfect, abundant, or deficient based on Nicomachus' (60 - 120 CE) classification scheme for natural numbers."
phone-number,Clean up user-entered phone numbers so that they can be sent SMS messages.
pig-latin,Implement a program that translates from English to Pig Latin
point-mutations,Calculate the Hamming difference between two DNA strands.
poker,Pick the best hand(s) from a list of poker hands.
pov,Reparent a graph on a selected node
prime-factors,Compute the prime factors of a given natural number.
protein-translation,Translate RNA sequences into proteins.
proverb,"For want of a horseshoe nail, a kingdom was lost, or so the saying goes. Output the full text of this proverbial rhyme."
pythagorean-triplet,There exists exactly one Pythagorean triplet for which a + b + c = 1000. Find the product a * b * c.
queen-attack,"Given the position of two queens on a chess board, indicate whether or not they are positioned so that they can attack each other."
rail-fence-cipher,Implement encoding and decoding for the rail fence cipher.
raindrops,"Convert a number to a string, the contents of which depend on the number's factors."
rational-numbers,Implement rational numbers.
react,Implement a basic reactive system.
rectangles,Count the rectangles in an ASCII diagram.
rest-api,Implement a RESTful API for tracking IOUs.
reverse-string,Reverse a string
rna-transcription,"Given a DNA strand, return its RNA Complement Transcription."
robot-name,Manage robot factory settings.
robot-simulator,Write a robot simulator.
roman-numerals,Write a function to convert from normal numbers to Roman Numerals.
rotational-cipher,"Create an implementation of the rotational cipher, also sometimes called the Caesar cipher."
run-length-encoding,Implement run-length encoding and decoding.
saddle-points,Detect saddle points in a matrix.
say,"Given a number from 0 to 999,999,999,999, spell out that number in English."
scale-generator,"Generate musical scales, given a starting note and a set of intervals. "
scrabble-score,"Given a word, compute the scrabble score for that word."
secret-handshake,"Given a decimal number, convert it to the appropriate sequence of events for a secret handshake."
series,"Given a string of digits, output all the contiguous substrings of length `n` in that string."
sgf-parsing,Parsing a Smart Game Format string.
sieve,Use the Sieve of Eratosthenes to find all the primes from 2 up to a given number.
simple-cipher,Implement a simple shift cipher like Caesar and a more secure substitution cipher
simple-linked-list,Write a simple linked list implementation that uses Elements and a List
space-age,"Given an age in seconds, calculate how old someone is in terms of a given planet's solar years."
spiral-matrix," Given the size, return a square matrix of numbers in spiral order."
strain,"Implement the `keep` and `discard` operation on collections. Given a collection and a predicate on the collection's elements, `keep` returns a new collection containing those elements where the predicate is true, while `discard` returns a new collection containing those elements where the predicate is false."
sublist,Write a function to determine if a list is a sublist of another list.
sum-of-multiples,"Given a number, find the sum of all the multiples of particular numbers up to but not including that number."
tournament,Tally the results of a small football competition.
transpose,Take input text and output it transposed.
tree-building,Refactor a tree building algorithm.
triangle,"Determine if a triangle is equilateral, isosceles, or scalene."
trinary,"Convert a trinary number, represented as a string (e.g. '102012'), to its decimal equivalent using first principles."
twelve-days,Output the lyrics to 'The Twelve Days of Christmas'
two-bucket,"Given two buckets of different size, demonstrate how to measure an exact number of liters."
two-fer,"Create a sentence of the form ""One for X, one for me."""
variable-length-quantity,Implement variable length quantity encoding and decoding.
word-count,"Given a phrase, count the occurrences of each word in that phrase."
word-search,Create a program to solve a word search puzzle.
wordy,Parse and evaluate simple math word problems returning the answer as an integer.
yacht,Score a single throw of dice in the game Yacht
zebra-puzzle,Solve the zebra puzzle.
zipper,Creating a zipper for a binary tree.
