exercise,n_test_cases
accumulate,0
acronym,1
all-your-base,21
allergies,2
alphametics,1
anagram,12
armstrong-numbers,8
atbash-cipher,2
bank-account,0
beer-song,2
binary-search-tree,4
binary-search,10
binary,15
bob,25
book-store,1
bowling,30
bracket-push,15
change,11
circular-buffer,13
clock,4
collatz-conjecture,6
complex-numbers,7
connect,10
counter,0
crypto-square,7
custom-set,9
diamond,5
difference-of-squares,3
diffie-hellman,5
dominoes,12
dot-dsl,0
error-handling,0
etl,1
flatten-array,6
food-chain,1
forth,12
gigasecond,1
go-counting,11
grade-school,7
grains,2
grep,2
hamming,15
hangman,0
hello-world,1
hexadecimal,0
house,1
isbn-verifier,17
isogram,1
kindergarten-garden,2
largest-series-product,15
leap,4
ledger,0
lens-person,0
linked-list,0
list-ops,8
luhn,14
markdown,9
matrix,8
meetup,95
minesweeper,12
nth-prime,5
nucleotide-codons,0
nucleotide-count,1
ocr-numbers,1
octal,0
paasio,0
palindrome-products,12
pangram,1
parallel-letter-frequency,0
pascals-triangle,1
perfect-numbers,4
phone-number,1
pig-latin,6
point-mutations,0
poker,28
pov,2
prime-factors,1
protein-translation,1
proverb,6
pythagorean-triplet,0
queen-attack,2
rail-fence-cipher,2
raindrops,18
rational-numbers,5
react,14
rectangles,13
reverse-string,5
rna-transcription,5
robot-name,0
robot-simulator,5
roman-numerals,19
rotational-cipher,1
run-length-encoding,3
saddle-points,5
say,15
scale-generator,2
scrabble-score,11
secret-handshake,1
series,10
sgf-parsing,0
sieve,5
simple-cipher,3
simple-linked-list,0
space-age,8
spiral-matrix,6
strain,0
sublist,17
sum-of-multiples,13
tournament,11
transpose,11
tree-building,0
triangle,3
trinary,1
twelve-days,2
two-bucket,6
two-fer,3
variable-length-quantity,2
word-count,11
word-search,20
wordy,16
yacht,27
zebra-puzzle,2
zipper,13
